#dvd_title_id_f,title,release_date,award,label_id,sound_id,genre_id,rating_id,format_id
1,1 Day,,NULL,,1,,4,2
2,2 Days in the Va,,,53,3,9,7,8
3,"20,000 Leagues Under The Sea (Silent)",,,55,1,6,4,2
4,36 Deadly Styles,,,141,1,11,7,2
5,36 Fillette,,,48,1,11,4,2
6,"39 Steps, The ",,,28,1,21,4,2
7,50 Years:The Best Of Hollywood,,,93,1,8,4,2
8,5th Day of Peace,,,112,1,9,5,2
9,8 Man,,,55,1,11,4,2
10,A Bug's,1999-11-22,Oscar Best Animated Picture,25,3,3,2,8
11,A.M. Yoga/P.M. Yoga/Stress Relief Yoga For Beginners ,,,64,1,20,4,2
12,AAA Map & Go,,,10,1,20,4,2
13,Abbott & Costello 2-Pack: Africa Screams/Jack & The Beanstalk,,,68,1,7,4,2
14,Abbott & Costello Double: Africa Screams/Jack & The Beanstalk,,,68,1,7,4,2
15,Abbott & Costello In the Foreign Legion,,,55,1,7,4,2
16,Abbott & Costello Show #1,,,110,1,6,4,2
17,Abbott & Costello Show #2,,,110,1,6,4,2
18,About Tonight,,,151,3,2,2,4
19,Abraxas: Guardian of the Universe,,,112,1,2,4,2
20,Absence of Malice ,,,24,1,9,5,2
21,Absolute Power ,,,123,1,21,7,2
22,Academy Award Winners,,,55,3,8,4,2
23,Ace Ventura: Pet Detective ,,,134,1,7,6,2
24,Ace Ventura:The Case Of The Serial Shaver:Multipath Adv.,2000-04-25,,113,3,20,4,2
25,Action Collector's Pack,,,13,1,2,7,2
26,Action Jackson,,,134,1,2,7,2
27,Action Pack Gift Set: Blade Runner/Eraser/Fugitive/Twister,,,134,1,2,4,2
28,Adult Party Pack #1-5,,,68,1,20,4,2
29,Adventures In Babysitting,,,16,1,7,6,8
30,Adventures of Milo and Otis,,,24,1,5,2,2
31,"Adventures of Pinocchio, The ",,,87,1,5,2,2
32,"Adventures of Priscilla, Queen of the Desert, The ",,,99,1,7,7,2
33,"Aelita, The Queen Of Mars",,,55,1,19,4,2
34,"AFI'S 100 Years, 100 Movies",,,55,1,20,4,4
35,Africa Screams ,,,126,1,6,4,2
